Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,xG,xGA,xGDiff,xGDiff/90,Attendance,Top Team Scorer,Goalkeeper
41,Sheffield Utd,eng ENG,9,38,14,12,12,39,39,0,54,1.42,41.5,47.9,-6.4,-0.17,24370,Oliver McBurnie Lys Mousset - 6,Dean Henderson
42,Getafe,es ESP,8,38,14,12,12,43,37,6,54,1.42,37.9,38.7,-0.8,-0.02,8000,Jaime Mata - 11,David Soria
43,Strasbourg,fr FRA,10,27,11,5,11,32,32,0,38,1.41,35.0,30.8,4.2,0.15,24985,Adrien Thomasson Ludovic Ajorque - 8,Matz Sels
44,Freiburg,de GER,8,34,13,9,12,48,47,1,48,1.41,41.7,60.6,-18.9,-0.56,16888,Nils Petersen - 11,Alexander Schwolow
45,Valencia,es ESP,9,38,14,11,13,46,53,-7,53,1.39,40.4,52.3,-11.9,-0.31,29658,Maxi Gómez - 9,Jasper Cillessen
46,Angers,fr FRA,11,28,11,6,11,28,33,-5,39,1.39,27.1,28.7,-1.6,-0.06,9825,Rachid Alioui - 6,Ludovic Butelle
47,Southampton,eng ENG,11,38,15,7,16,51,60,-9,52,1.37,53.9,53.2,0.7,0.02,23428,Danny Ings - 22,Alex McCarthy
48,Osasuna,es ESP,10,38,13,13,12,46,54,-8,52,1.37,44.7,46.4,-1.7,-0.04,11453,Ezequiel Ávila - 9,Sergio Herrera
49,Athletic Club,es ESP,11,38,13,12,13,41,38,3,51,1.34,38.5,46.2,-7.7,-0.20,28039,Raúl García - 15,Unai Simón
50,Sassuolo,it ITA,8,38,14,9,15,69,63,6,51,1.34,55.8,64.3,-8.5,-0.22,7704,Francesco Caputo - 21,Andrea Consigli
51,Bordeaux,fr FRA,12,28,9,10,9,40,34,6,37,1.32,29.8,33.2,-3.4,-0.12,23430,Jimmy Briand - 7,Benoît Costil
52,Nantes,fr FRA,13,28,11,4,13,28,31,-3,37,1.32,27.8,33.5,-5.7,-0.20,24635,Ludovic Blas Moses Simon - 5,Alban Lafont
53,Eint Frankfurt,de GER,9,34,13,6,15,59,60,-1,45,1.32,52.5,49.1,3.4,0.10,35435,André Silva - 12,Kevin Trapp
